candidate,candidate_type,imputation,model,training_mode,alpha,NDCG_at_K,Precision_at_K,Recall_at_K,AveragePrecision,TopWeightedRMSE,RMSE,MAE,R2,K,DiversePrecision_at_K,DiverseRecall_at_K,TolerantPrecision_at_K,TolerantRecall_at_K,TolerantDiversePrecision_at_K,TolerantDiverseRecall_at_K,ToleranceSec,MinGapSec
hybrid__alpha_0.7__regression__missing_rows_interpolate__xgboost_gpu__highlight_weighted__PLUS__classifier__missing_rows_interpolate__gradient_boosting_clf__highlight_weighted,hybrid,hybrid,rank_regression_plus_topk_classifier,hybrid_score,0.7,0.8696620852595028,0.6071428571428571,0.6071428571428571,0.685364841487507,0.1766430204000475,0.17501704307140123,0.13377063650705276,0.2130623705526652,28,0.39285714285714285,0.39285714285714285,0.9285714285714286,0.6785714285714286,0.5714285714285714,0.5357142857142857,10,10
hybrid__alpha_0.7__regression__missing_rows_interpolate__xgboost_gpu__standard__PLUS__classifier__missing_rows_interpolate__gradient_boosting_clf__highlight_weighted,hybrid,hybrid,rank_regression_plus_topk_classifier,hybrid_score,0.7,0.862818233292067,0.6071428571428571,0.6071428571428571,0.6704256259713116,0.1754525575797509,0.17077094106605184,0.13210633481481157,0.2507830884339063,28,0.35714285714285715,0.35714285714285715,0.9642857142857143,0.6785714285714286,0.5714285714285714,0.5714285714285714,10,10
hybrid__alpha_0.3__regression__missing_rows_mean__xgboost_gpu__highlight_weighted__PLUS__classifier__missing_rows_interpolate__gradient_boosting_clf__highlight_weighted,hybrid,hybrid,rank_regression_plus_topk_classifier,hybrid_score,0.3,0.8596549603712529,0.6428571428571429,0.6428571428571429,0.6321769656756371,0.18339938044227092,0.1532936311766443,0.11026421392073964,0.3962907195563081,28,0.39285714285714285,0.39285714285714285,0.9642857142857143,0.7142857142857143,0.5714285714285714,0.5357142857142857,10,10
hybrid__alpha_0.7__regression__missing_rows_interpolate__xgboost_gpu__standard__PLUS__classifier__missing_rows_interpolate__gradient_boosting_clf__standard,hybrid,hybrid,rank_regression_plus_topk_classifier,hybrid_score,0.7,0.8549316172362204,0.6071428571428571,0.6071428571428571,0.6584553802132549,0.17161980357618936,0.15920233975600698,0.12492759878577847,0.34885378444310444,28,0.39285714285714285,0.39285714285714285,0.9642857142857143,0.6785714285714286,0.6071428571428571,0.6071428571428571,10,10
hybrid__alpha_0.5__regression__missing_rows_interpolate__xgboost_gpu__highlight_weighted__PLUS__classifier__missing_rows_interpolate__gradient_boosting_clf__highlight_weighted,hybrid,hybrid,rank_regression_plus_topk_classifier,hybrid_score,0.5,0.8529225624616831,0.6071428571428571,0.6071428571428571,0.66511497938097,0.16322822418098676,0.14295722006573525,0.0998416088459603,0.4749606940941873,28,0.39285714285714285,0.39285714285714285,0.9285714285714286,0.6785714285714286,0.5714285714285714,0.5357142857142857,10,10
hybrid__alpha_0.5__regression__missing_rows_interpolate__xgboost_gpu__standard__PLUS__classifier__missing_rows_interpolate__gradient_boosting_clf__highlight_weighted,hybrid,hybrid,rank_regression_plus_topk_classifier,hybrid_score,0.5,0.8522457117319766,0.6071428571428571,0.6071428571428571,0.6356607962246684,0.16414238363660574,0.14110994137523317,0.09985545098705849,0.48844203467451064,28,0.39285714285714285,0.39285714285714285,0.9642857142857143,0.6785714285714286,0.5714285714285714,0.5714285714285714,10,10
hybrid__alpha_0.3__regression__missing_rows_interpolate__xgboost_gpu__standard__PLUS__classifier__missing_rows_interpolate__gradient_boosting_clf__highlight_weighted,hybrid,hybrid,rank_regression_plus_topk_classifier,hybrid_score,0.3,0.8511886244852593,0.6071428571428571,0.6071428571428571,0.6347710333218537,0.18369497679993807,0.15326243554844665,0.11125319892404012,0.3965364071796975,28,0.39285714285714285,0.39285714285714285,0.9642857142857143,0.6785714285714286,0.5714285714285714,0.5714285714285714,10,10
hybrid__alpha_0.5__regression__missing_rows_interpolate__xgboost_gpu__standard__PLUS__classifier__missing_rows_interpolate__xgboost_gpu_clf__highlight_weighted,hybrid,hybrid,rank_regression_plus_topk_classifier,hybrid_score,0.5,0.8489106313980488,0.6071428571428571,0.6071428571428571,0.6406594213288908,0.1826853433900366,0.14244980314436037,0.10252694742143645,0.47868126195647753,28,0.39285714285714285,0.39285714285714285,0.9642857142857143,0.7142857142857143,0.6071428571428571,0.5357142857142857,10,10
hybrid__alpha_0.5__regression__missing_rows_interpolate__xgboost_gpu__highlight_weighted__PLUS__classifier__missing_rows_interpolate__gradient_boosting_clf__standard,hybrid,hybrid,rank_regression_plus_topk_classifier,hybrid_score,0.5,0.8485931899021975,0.6071428571428571,0.6071428571428571,0.6519964981359146,0.16335011440374236,0.1290314896423195,0.09352699445244593,0.5722686812238249,28,0.4642857142857143,0.4642857142857143,0.9642857142857143,0.6785714285714286,0.7142857142857143,0.6785714285714286,10,10
hybrid__alpha_0.3__regression__missing_rows_interpolate__xgboost_gpu__highlight_weighted__PLUS__classifier__missing_rows_interpolate__gradient_boosting_clf__highlight_weighted,hybrid,hybrid,rank_regression_plus_topk_classifier,hybrid_score,0.3,0.8485715217626683,0.6071428571428571,0.6071428571428571,0.6385888324548706,0.18222261987497773,0.15326390689204222,0.11107042301322448,0.396524820432413,28,0.39285714285714285,0.39285714285714285,0.9285714285714286,0.7142857142857143,0.5714285714285714,0.5357142857142857,10,10
hybrid__alpha_0.5__regression__missing_rows_mean__xgboost_gpu__highlight_weighted__PLUS__classifier__missing_rows_interpolate__gradient_boosting_clf__standard,hybrid,hybrid,rank_regression_plus_topk_classifier,hybrid_score,0.5,0.8484663033317836,0.6071428571428571,0.6071428571428571,0.6600036500924815,0.16645399031959565,0.12932387716637164,0.0937213036502876,0.5703279921815636,28,0.4642857142857143,0.4642857142857143,0.9642857142857143,0.6785714285714286,0.6785714285714286,0.6428571428571429,10,10
hybrid__alpha_0.5__regression__missing_rows_interpolate__xgboost_gpu__highlight_weighted__PLUS__classifier__missing_rows_interpolate__xgboost_gpu_clf__highlight_weighted,hybrid,hybrid,rank_regression_plus_topk_classifier,hybrid_score,0.5,0.8483643375994606,0.6071428571428571,0.6071428571428571,0.6397282649877266,0.1785420813516337,0.1430919373985664,0.10281407737975903,0.47397067452908725,28,0.39285714285714285,0.39285714285714285,0.9642857142857143,0.7142857142857143,0.6071428571428571,0.5357142857142857,10,10
hybrid__alpha_0.7__regression__missing_rows_interpolate__xgboost_gpu__highlight_weighted__PLUS__classifier__missing_rows_interpolate__gradient_boosting_clf__standard,hybrid,hybrid,rank_regression_plus_topk_classifier,hybrid_score,0.7,0.847548276457408,0.6071428571428571,0.6071428571428571,0.668227663108266,0.1694317631500293,0.16217172623616963,0.1257366472287129,0.3243373571071936,28,0.42857142857142855,0.42857142857142855,0.9285714285714286,0.6785714285714286,0.6785714285714286,0.6785714285714286,10,10
