start_sec,end_sec,start_time,end_time,num_detections,character_count,emotion_count,avg_mismatch,emotion_entropy,transition_score,avg_emotion_confidence,highlight_score
250,255,04:10,04:15,7,3,4,0.6142857142857144,0.6562657870334375,0.6,0.3620362856558391,0.6204950181869309
1195,1200,19:55,20:00,4,4,4,0.8,0.7124143721604509,0.0,0.37809155881404877,0.6181035930401129
1740,1745,29:00,29:05,6,4,5,0.5666666666666668,0.8020464895561027,0.4,0.37607211371262866,0.6155116223890258
785,790,13:05,13:10,4,2,3,0.8,0.5343107791203382,0.4,0.38963358849287033,0.6135776947800846
830,835,13:50,13:55,9,5,5,0.34444444444444444,0.7826440821384646,0.8,0.3825186491012573,0.6106610205346161
845,850,14:05,14:10,5,4,3,0.78,0.5421217241188033,0.2,0.5295815706253052,0.6065304310297008
740,745,12:20,12:25,6,4,4,0.6333333333333333,0.6384947020792185,0.4,0.41113664706548053,0.6046236755198047
605,610,10:05,10:10,5,2,3,0.76,0.5421217241188033,0.4,0.3639349639415741,0.5975304310297009
1265,1270,21:05,21:10,6,4,4,0.7000000000000001,0.6384947020792185,0.2,0.385231892267863,0.5946236755198047
200,205,03:20,03:25,6,4,4,0.5666666666666667,0.6833107610339938,0.4,0.358600157002608,0.5858276902584985
530,535,08:50,08:55,5,4,4,0.64,0.6846045984481139,0.2,0.3339892029762268,0.5791511496120285
610,615,10:10,10:15,6,3,3,0.5499999999999999,0.5645750325118847,0.6,0.40988655388355255,0.5686437581279711
575,580,09:35,09:40,7,3,4,0.5857142857142856,0.6562657870334375,0.4,0.36115619965962004,0.5676378753297879
1530,1535,25:30,25:35,4,3,4,0.625,0.7124143721604509,0.2,0.46441663801670074,0.5593535930401128
750,755,12:30,12:35,4,3,4,0.6,0.7124143721604509,0.2,0.3163090758025646,0.5481035930401128
545,550,09:05,09:10,4,2,4,0.5249999999999999,0.7124143721604509,0.4,0.34620099514722824,0.5343535930401127
80,85,01:20,01:25,5,4,4,0.54,0.6846045984481139,0.2,0.3248372316360474,0.5341511496120286
1350,1355,22:30,22:35,2,2,2,0.9,0.3562071860802255,0.0,0.5998453348875046,0.5340517965200564
75,80,01:15,01:20,3,3,3,0.7333333333333334,0.5645750325118847,0.0,0.44047903021176654,0.5311437581279712
150,155,02:30,02:35,4,3,3,0.65,0.5343107791203382,0.2,0.33217544108629227,0.5260776947800847
15,20,00:15,00:20,4,2,3,0.675,0.5343107791203382,0.2,0.3787439465522766,0.5173276947800847
835,840,13:55,14:00,4,4,4,0.575,0.7124143721604509,0.0,0.4078802391886711,0.5168535930401128
735,740,12:15,12:20,5,4,4,0.5,0.6846045984481139,0.2,0.4232716530561447,0.5161511496120286
120,125,02:00,02:05,3,3,3,0.7000000000000001,0.5645750325118847,0.0,0.3620355725288391,0.5161437581279713
325,330,05:25,05:30,2,2,2,0.8500000000000001,0.3562071860802255,0.0,0.47766347229480743,0.5115517965200564
580,585,09:40,09:45,8,3,3,0.38749999999999996,0.4626400909135434,0.8,0.39861294254660606,0.5100350227283859
1020,1025,17:00,17:05,3,2,3,0.6333333333333333,0.5645750325118847,0.2,0.47490134835243225,0.5061437581279712
