candidate,candidate_type,imputation,model,training_mode,alpha,NDCG_at_K,Precision_at_K,Recall_at_K,AveragePrecision,TopWeightedRMSE,RMSE,MAE,R2,K,DiversePrecision_at_K,DiverseRecall_at_K,TolerantPrecision_at_K,TolerantRecall_at_K,TolerantDiversePrecision_at_K,TolerantDiverseRecall_at_K,ToleranceSec,MinGapSec
hybrid__alpha_0.7__regression__missing_rows_interpolate__extra_trees__highlight_weighted__PLUS__classifier__missing_rows_interpolate__gradient_boosting_clf__standard,hybrid,hybrid,rank_regression_plus_topk_classifier,hybrid_score,0.7,0.9499596208404484,0.7857142857142857,0.7857142857142857,0.8178909533994543,0.1594521423219706,0.16690550797790996,0.13244591113658744,0.2731760492014411,28,0.39285714285714285,0.39285714285714285,0.9642857142857143,0.8214285714285714,0.6785714285714286,0.6785714285714286,10,10
hybrid__alpha_0.7__regression__missing_rows_interpolate__xgboost_gpu__highlight_weighted__PLUS__classifier__missing_rows_interpolate__gradient_boosting_clf__standard,hybrid,hybrid,rank_regression_plus_topk_classifier,hybrid_score,0.7,0.9487041603966375,0.75,0.75,0.8505500612554824,0.15068948723504108,0.15886720996584644,0.1258788505929196,0.3414990144513935,28,0.42857142857142855,0.42857142857142855,0.9642857142857143,0.7857142857142857,0.6785714285714286,0.6785714285714286,10,10
hybrid__alpha_0.5__regression__missing_rows_interpolate__random_forest__highlight_weighted__PLUS__classifier__missing_rows_interpolate__gradient_boosting_clf__standard,hybrid,hybrid,rank_regression_plus_topk_classifier,hybrid_score,0.5,0.9414706408836147,0.75,0.75,0.8211388661766024,0.12850440921248416,0.11114164502203473,0.08200064828765055,0.6777139309445448,28,0.39285714285714285,0.39285714285714285,0.9642857142857143,0.8571428571428571,0.6428571428571429,0.6428571428571429,10,10
hybrid__alpha_0.5__regression__missing_rows_interpolate__xgboost_gpu__highlight_weighted__PLUS__classifier__missing_rows_interpolate__gradient_boosting_clf__standard,hybrid,hybrid,rank_regression_plus_topk_classifier,hybrid_score,0.5,0.9414522134617934,0.75,0.75,0.8373069851008964,0.1244630923365561,0.10756814015261032,0.0820136058228187,0.6981054924918436,28,0.42857142857142855,0.42857142857142855,0.9642857142857143,0.8571428571428571,0.6785714285714286,0.6785714285714286,10,10
regression__missing_rows_interpolate__xgboost_gpu__highlight_weighted,regression,missing_rows_interpolate,xgboost_gpu,highlight_weighted,,0.9409568062947588,0.7857142857142857,0.7857142857142857,0.8145517556391088,0.25533566551147285,0.28146152419656734,0.24005591474682683,-1.06693092251095,28,0.4642857142857143,0.4642857142857143,0.9642857142857143,0.7857142857142857,0.75,0.6785714285714286,10,10
hybrid__alpha_0.7__regression__missing_rows_interpolate__extra_trees__standard__PLUS__classifier__missing_rows_interpolate__gradient_boosting_clf__standard,hybrid,hybrid,rank_regression_plus_topk_classifier,hybrid_score,0.7,0.9378731350180091,0.75,0.75,0.8086231873820022,0.1518605795832033,0.15424798164774195,0.12296285414228868,0.37923550078771195,28,0.39285714285714285,0.39285714285714285,0.9285714285714286,0.8214285714285714,0.6428571428571429,0.6428571428571429,10,10
hybrid__alpha_0.3__regression__missing_rows_interpolate__random_forest__highlight_weighted__PLUS__classifier__missing_rows_interpolate__gradient_boosting_clf__standard,hybrid,hybrid,rank_regression_plus_topk_classifier,hybrid_score,0.3,0.9376627986672221,0.75,0.75,0.8101155826046416,0.1614097545650516,0.12841405640302817,0.09524015476568698,0.5697577837138138,28,0.39285714285714285,0.39285714285714285,0.9642857142857143,0.8928571428571429,0.6428571428571429,0.6428571428571429,10,10
hybrid__alpha_0.7__regression__missing_rows_interpolate__xgboost_gpu__highlight_weighted__PLUS__classifier__missing_rows_interpolate__random_forest_clf__standard,hybrid,hybrid,rank_regression_plus_topk_classifier,hybrid_score,0.7,0.9374271833535681,0.7142857142857143,0.7142857142857143,0.8133082045869264,0.17650223720681796,0.18133114682708504,0.14010279305018336,0.14210782062889604,28,0.4642857142857143,0.4642857142857143,0.9642857142857143,0.75,0.7142857142857143,0.6785714285714286,10,10
hybrid__alpha_0.7__regression__missing_rows_interpolate__extra_trees__highlight_weighted__PLUS__classifier__missing_rows_interpolate__gradient_boosting_clf__highlight_weighted,hybrid,hybrid,rank_regression_plus_topk_classifier,hybrid_score,0.7,0.9366782689322054,0.6428571428571429,0.6428571428571429,0.790673267279792,0.1788195824952978,0.18463043529106768,0.1454587107842998,0.11060541804521717,28,0.39285714285714285,0.39285714285714285,0.9642857142857143,0.8571428571428571,0.6785714285714286,0.6785714285714286,10,10
hybrid__alpha_0.5__regression__missing_rows_interpolate__xgboost_gpu__highlight_weighted__PLUS__classifier__missing_rows_interpolate__gradient_boosting_clf__highlight_weighted,hybrid,hybrid,rank_regression_plus_topk_classifier,hybrid_score,0.5,0.9366126051590686,0.6785714285714286,0.6785714285714286,0.8163916373552483,0.14243514643380187,0.13174391936861266,0.09541844923857894,0.5471555480748602,28,0.39285714285714285,0.39285714285714285,0.9642857142857143,0.8214285714285714,0.6785714285714286,0.6785714285714286,10,10
